番号,言葉,読み方,意味,例文
1,摘む,つむ," Ngắt, nhổ","・相手の反撃（はんげき）のチャンスの芽を摘む。
Ngăn chặn cơ hội phản công của đối phương
・自分で摘んだブドウで、ジャムを作った。
Tôi đã làm mứt bằng nho do chính tay tôi hái"
2,つかむ,," - Tóm lấy, nắm chặt, có được
- Nắm lấy, có được, bên mình
- Nắm được, lãnh hội","・彼女は帰ろうとする僕の腕をつかんで離さなかった。
Đang định rời đi thì cô ấy nắm vào cánh tay tôi không buông.
・夢をつかむためには、努力を惜（お）しんではならない。
Để có được ước mơ thì không được tiếc sự hỗ lực.
・あの政治家は大衆(たいしゅう）の心をつかんだ。
Chính trị gia ấy có được sự yêu thích từ những người dân.
・彼女はチャンスをつかみかけているのに、諦めしてしまった。
Cô ấy đang nắm giữ cơ hội trong tay, ấy vậy mà lại từ bỏ"
3,つまむ,,"Kẹp, gắp/ Lấy và ăn, ăn nhẹ","・砂糖を少々つまみ、ヨーグルトに振りかけた。
Nhúm một ít đường và rắc lên sữa chua
・クッキーをつまみながら、紅茶を飲んだ。
Vừa véo bánh ngọt vừa uống trà."
4,くむ,,"Múc/Nắm bát, cảm thông","・この量の水を手でくんでいたら、いつまで経っても終わらない。
Nếu cứ dùng tay múc chừng này lượng nước thì dù đến bao lâu nữa cũng không xong.
・両親は私の意志をくみ、大学院まで進学させてくれた。
Bố mẹ đã thấu hiểu nguyện vọng của tôi và cho tôi học lên cao học."
5,くわえる,,	Ngậm,"箸をくわえるのは行儀が悪いのでやめなさい。
Ngậm đũa là hành vi không đúng mực nên hãy dừng lại đi."
6,見かける,みかける,"Bắt gặp, nhìn thấy","・さっき商店街であなたを見かけたと思ったが、人違いだった。
Lúc nãy tôi cứ nghĩ là đã nhìn thấy cậu ở phố mua sắm, nhưng mà tôi đã nhầm người."
7,見分ける,みわける,Phân biệt,"・いまだに、あの双子の兄弟を見分けることができない。
Cho đến tận bây giờ tôi vẫn không thể phân biệt được cặp anh em song sinh đó."
8,見渡す,みわたす," Phóng tầm mắt, nhìn quanh / Xem xét, khảo sát, tổng quan","・トンネルを抜けたら、見わたす限りの絶景（ぜっけい）が広がっていた。
Đi ra khỏi hầm thì cảnh đẹp trải rộng ngút tầm mắt."
9,見落とす,みおとす," Bỏ sót, nhìn sót","・彼がこんなミスを見落としたなんて、にわかに信じがたい。
Anh ấy mà lại bỏ sót lỗi như thế này, thực sự khó tin."
10,ぞっとする,," Sợ rùng mình, run bắn lên","・誰もいないはずの部屋から物音がしたので、ぞっとした。
Sởn gai ốc vì có âm thanh phát ra từ căn phòng không có người."
11,ぎょっとする,,"Giật bắn mình, giật thót"," ・家に帰ると息子が倒れていたのでぎょっとしたが、よく見ると寝ているだけだった。
Về nhà thấy con trai nằm ngã ra đấy, tôi giật bắn mình nhưng khi nhìn kỹ thì chỉ là thằng bé đang ngủ mà thôi."
12,照れる,てれる," Ngượng, thẹn thùng","・普段は無口な父に成績のこと褒められ、照れてしまった。
Tôi đã ngại ngùng khi nhận được lời khen về thành tích từ ông bố kiệm lời của mình."
13,途切れる,とぎれる,"Ngưng, gián đoạn","・上京して以来、毎日あった母との連絡が途切れた。
Kể từ ngày lên Tokyo, việc liên lạc với mẹ mỗi ngày đã bị gián đoạn.
・最近は客足（きゃくあし）が途切れ、売り上げも右肩(みぎかた）下がりだ。
Gần đây, lượng khách thưa thớt, doanh thu cũng giảm xuống."
14,途絶える,とだえる," Bị cắt đứt, dừng","・本部からの通信が途絶えた。
Mất liên lạc với trụ sở chính"
15,叶う,かなう, Thành hiện thực,"・諦めなければ夢は必ずかなう。それは私の恩師の口癖（くちぐせ）だった。
”Nếu ta không từ bỏ, nhất định ước mơ sẽ thành hiện thực"" Đó là câu cửa miệng của thầy tôi"
16,叶える,かなえる,Biến...thành hiện thực,"・私は、夢を叶えた人には何らかの共通点があるのではないかと考えている。
Tôi nghĩ rằng, ở những người đã biến ước mơ thành hiện thực, họ chẳng phải có điểm chung gì đó hay sao."
17,這う,はう,"Bò, trườn","・明日の会議は、這ってでも行かなければならない。
Cuộc họp ngày mai, dù có phải bò cũng phải đi.
・蛇が体をねじらせ、地を這ってる。
Con rắn vặn mình bò trên đất.
・大量の草が家一面を這っている。
Lượng cỏ lớn đang mọc khắp nhà."
18,潜る,くぐる," Cúi qua, đi qua/ Né tránh, lẻn qua","・トンネルを潜ったら、素晴らしい雪景色が広がっていた。
Sau khi đi qua hầm, cảnh tuyết tuyệt đẹp đã trải ra trước mắt.
・看守（かんしゅ）の目をくぐって脱獄（だつごく）した囚人（囚人）が、今朝隣の件で発見された。
Tên tù nhân sau khi qua mắt được cai ngục rồi vượt ngục đã bị phát hiện ở tỉnh bên cạnh sáng nay.
"
19,ひねる,,"Vặn, xoắn/ Rắc rối, khó nhằn,/ Vò đầu bứt tai","・手をひねってしまい、まともに仕事ができない。
Lỡ vặn tay, tôi hoàn toàn không thể làm việc.
・この難間を解読するためん、頭をひねらす。
Để giải mã câu hỏi khó này tôi đã vắt óc suy nghĩ.
・彼女の質問に思わず首をひねった。
Cô ấy bất chợt nghiêng đầu (suy nghĩ)"
20,ねじれる,, Bị xoắn,"・かばんに入れいたら、いつの間にかイヤホンがねじれていた。
Cho tai nghe vào túi, xong nó đã bị xoắn lúc nào không hay.
・姉とは関係がねじれ、疎遠（そえん）になった。
Quan hệ của tôi và chị bị trục trặc và trở nên xa cách."
21,ねじる,,"Xoắn, vặn","・彼は考え時、よく髪をねじる癖がある。
Anh ấy những lúc suy nghĩ thường có thói quen dùng tay xoắn tóc.
・体をねじり骨を鳴らす。
Vặn mình làm cho xương kêu."
22,擦る,こする,"Chà, dụi, cạ vào","・花粉症にかかってしまい、いつも目を擦りたくて仕方がない。
Bị dị ứng phấn hoa nên lúc nào tôi cũng muốn dụi mắt không chịu được.
・あんなに汚かった鏡も、諦めず擦ったら綺麗になった。
Ngay cả cái gương bẩn đến vậy, sau khi cố gắng chùi cọ cũng đã trở nên sạch đẹp."
23,摩る,さする,Xoa bóp,"・患部（かんぶ）を摩り、少しでも痛みを和（やわ）らげる
Xoa bóp vùng bị tổn thương, làm dịu được ít nhiều cơn đau."
24,撫でる,なでる,"Xoa, vuốt ve","・私の恋人は、頭を撫でられるのが好きだ。
Người yêu của tôi thích được xoa đầu."
25,弄る,いじる,"- Nghịch, mân mê
- Động vào, táy máy, mò vào (làm hỏng)","・彼は鼻をいじりすぎて真っ赤になってた。
Anh ấy mân mê mũi nhiều quá nên nó đỏ lên.
・パソコンをいじっていたら、いきなり画面が固まった。
Đang nghịch máy tính tự nhiên màn hình bị đơ."
26,打ち明ける,うちあける," Bộc bạch, mở lòng","・この思いを打ち明けられたら、どんなに楽になるだろうか
Nếu có thể bộc bạch hết tấm tư này sẽ thoải mái biết bao."
27,拒む,こばむ, Từ chối," ・新人が先輩の指示を拒むことはできない。
Người mới không thể từ chối chỉ thị của tiền bối."
28,かき回す,かきまわす,Khuấy đều,"・水と油はどんなにかき回しても、すぐ分離（ぶんり）してしまう。
Nước và dầu ăn thì dù có khuấy đến mấy cũng sẽ tách ra ngay lập tức.
・彼女は場を散々かき回して、帰っていった。
Cô ấy làm loạn hết cả lên rồi đi về."
29,俯く,うつむく,"Nhìn xuống, cúi đầu","・あの子はさっきから悲しげに俯いたままで、何も言わない。
Cô bé đó từ nãy đến giờ có vẻ buồn, cứ cúi gằm xuống mà chẳng nói năng gì."
30,狂う,くるう,"Phát khùng, phát điên, xáo trộn, đảo lộn","・近頃（ちかごろ）は過保護な親が多すぎて、少し狂っていると思う。
Gần đây, rất nhiều cha mẹ chăm sóc con quá mức, tôi thấy họ có hơi cuồng.
・弟はゲームに狂い、寝る間も惜しんでやっている。
Thằng em trai cuồng chơi game, nó tiếc cả thời gian ngủ để chơi.
・他の受験者のことが気になり、問題を解くペースが狂ってしまった。
Cứ mải để ý đến những thí sinh khác làm xáo trộn cả tốc độ làm bài thi của tôi."
31,下る,くだる," Được đưa ra, Trôi qua, Thấp hơn, Bị tiêu chảy, Đi xuống","・あっという間に時代が下る
Chẳng mấy chốc thời đại đã trôi qua.
・来月の光熱費は３万円を下らないだろう。
Không biết tháng tới tiền điện và ga có xuống 30000 yên không nữa.
・何が原因か分からないが、お腹が下った。
Bị tiêu chảy không biết vì lý do gì.
・自動車で坂を全速力で下った。
Tôi đã lao hết tốc lực xuống dốc bằng xe đạp."
32,下す,くだす," Đưa ra, đánh bại, bị tiêu chảy","・私の上司は仕事の結果ではなく、その人の人間性を基準に評価を下す
Cấp trên của tôi đánh giá một người không phải bởi thành quả công việc, mà trên tiêu chuẩn về bản tính con người đó.
・創部1年目のチームが強豪校を下した。
Đội mới được thành lập 1 năm đã đánh bại trường mạnh.
・慣れない海外生活で、お腹を下した。
 Vì không quen với cuộc sống ở nước ngoài nên tôi đã bị tiêu chảy."
33,乗り過ごす,のりすごす," Lỡ bến, lỡ ga xuống","・今朝電車でうとうとしてしまい、つい乗り過ごしてしまった。
Sáng nay ngủ gật trên tàu  nên tôi đã đi quá trạm"
34,乗り越える,のりこえる,"Trèo qua, vượt qua","・あの囚人はこんなにも高い柵（さく）を乗り越えて、刑務所から脱走（だっそう）した。
Tên tù nhân đó đã vượt qua hàng rào cao và trốn khỏi nhà tù.
・彼は新人ながら数々（かずかず）の業績を乗り越え、今ではこの会社のトップにまで上り詰めた。
Cậu ấy tuy là người mới nhưng đã vượt qua nhiều thành tích kinh doanh và bây giờ đã leo lên top đầu của công ty này.
・苦しい日々を乗り越えた者にしか、成功者は訪（おとず）れない。
Thành công chỉ đến với những người đã vượt qua những ngày khổ cực."
35,歩む,あゆむ,Bước đi (cách nói hình tượng),"・どんな困難も共に（ともに）歩む覚悟がないのならば、結婚などするべきではない。
Nếu không có quyết tâm rằng sẽ luôn cùng nhau bước tiếp dù có khó khăn như thế nào đi nữa thì không nên kết hôn."
36,庇う,かばう,"Che chở, bao che, che giữ, cẩn thận","・友人は、私を庇うために先生に嘘をつき続けた。
Bạn tôi đã liên tục nói dối với giáo viên để bảo vệ cho tôi.
・骨折（こっせつ）した右足をかばいながら歩いていたら、左足までも痛くなってきた。
Vừa bảo vệ chân phải bị gãy xương vừa đi bộ nên chân trái của tôi cũng trở nên đau."
37,揶揄う,からかう,Chọc ghẹo,"・中学生時代、服のセンスがないとよくからかわれた。
Thời trung học tôi thường bị trêu là không có gu ăn mặc."
38,省みる,かえりみる,"Xem, kiểm điểm, nhìn nhận lại","・成長するためには、過去の行動を省みることを怠って（おこたって）はならない。
Để trưởng thành không được quên xem lại hành động trong quá khứ"
39,顧みる,かえりみる," Nhìn lại, quay lại, Màng tới, để ý tới","・あの時のことを顧みる（かえりみる）と、なんて私は愚か者だったのだろうと思う。
Nhìn lại thời gian đó tôi cảm mình quả là một tên ngốc.
・大きな音がしたので顧みると、空一面を覆い尽くすような花火が上がっていた。
Quay người lại vì nghe có âm thanh lớn thì thấy pháo hoa bay lên như bao phủ một vùng trời."
40,焦る,あせる,"Vội vàng, cuống quýt, dao động, bối rối, lo lắng","・落ち着かなければいけない時こそなぜか焦ってしまう。
Những lúc cần phải bình tĩnh chả hiêu sao tôi cứ luống cuống lên.
・結果を焦り、それまでの過程を疎かにする人が多い。
Nhiều người nôn nóng kết quả mà bỏ quên quá trình.
・「恋人の名前を間違えて読んだ時は本当に焦ったよ。
Tôi thực sự đã cuống lên lo lắng khi gọi nhầm tên người yêu."
41,急かす,せかす," Hối thúc, thúc giục","・人はそれぞれ食べるペースがあるので、遅いからと言ってあまり急かして食べさせるのは良くない。
Mỗi người có một tốc độ ăn khác nhau nên dù có chậm nhưng việc hối thúc bắt ăn là không tốt."
42,耐える,たえる, Chịu đựng,"・怠惰な人にならぬよう、様々な誘惑に耐える
Để không trở thành người lười biếng tôi đã chịu đựng trước nhiều cám dỗ.
・このスマートフォンは、かなりの衝撃（しょうげき）にも耐えることができる。
Điện thoại thông minh này có thể chịu được va đập mạnh."
43,競う,きそう, Cạnh tranh,"・彼女は何でも他人と競いたがる
Nhỏ đó muốn cạnh tranh mọi thứ với người khác."
44,負かす,まかす, Đánh bại,"・次の対戦相手は、今回のように簡単に負かすことはできない。
Đối thủ thi đấu lần tới không dễ đánh bại như lần này đâu."
45,弱る,よわる,Yếu đi/ Gặp rắc rối,"免疫力（めんえきりょく）が弱ると、様々病気にかかりやすくなってしまう。
Khi sức đề kháng yếu đi sẽ dễ bị mắc nhiều bệnh.
・アルバイトが無断欠勤をした人手が足りなくなり、本当に弱った。
Do nhân viên làm thêm nghỉ không xin phép nên đang bị thiếu nhân lực, thật sự khốn đốn."
46,老ける,ふける,"(Nhìn, trông, già đi)","・祖母（そぼ）は今年70歳になるが、一向に老ける気配がない。
Bà tôi năm nay dù đã 70 nhưng chẳng thấy có dấu vết của sự già nua."
47,強いる,しいる, Ép buộc,"・社長はあの一件のせいで、辞任を強いられた。
Giám đốc vì vụ đó mà bị ép từ chức."
48,禁じる,きんじる,Ngăn cấm,"・公園でのボールの使用は条例で禁じられている。
Việc sử dụng bóng trong công viên đang bị bấm bởi quy định."
49,千切れる,ちぎれる,"Bị xé nhỏ/bị đứt rời, bị giật đứt","・手をつねられ、皮膚が千切れるほど痛かった。
Tay tôi bị cấu, đau như thể da bị rách ra rồi ấy."
50,千切る,ちぎる,"Xé nhỏ, giật, nhổ","・包丁がないので仕方なくキャベツを手で千切る。
Vì không có dao nên không có cách nào khác tôi phải dùng tay để xé vụn bắp cải."
51,囁く,ささやく,"Đồn đại, thì thầm","・さっきの人はすれ違った時、何か囁いたがよく聞き取れなかった。
Người lúc nãy đi ngang qua đã thì thầm cái gì đó mà tôi không nghe được.
・課長が近々解雇されるのではないかと、密に囁かれている。
Mọi người đang xì xào bàn tán rất nhiều về chuyện trưởng phòng sắp bị xa thải."
52,喚く,わめく, La hét,"・赤ん坊はまだ言葉が話せないので必死に泣いて、喚き自分の思いを伝えようとする。
Đứa bé vì chưa nói được nên khóc hết sức, gào thét để truyền tải ý của mình."
53,挙がる,あがる,Giơ lên/ Xuất hiện/ Được nêu lên/ Nhận được,"・今日の授業はいつにも増して、多くの手が挙がる。
Giờ học hôm nay nhiều cánh tay giơ lên hơn mọi khi.
・彼の犯行を裏付け流、決定的な証拠が挙がった。
Chứng cứ mang tính quyết định chứng minh hành vi tội ác của anh ta đã được đưa ra.
・生徒会会長に彼の名前が挙がっている。
Tên cậu ấy đã được đưa ra cho chức hội trưởng hội học sinh.
・佐藤君は人一倍努力しているので、いつか必ず成果が挙がる。
Sato đã nỗi lực rất nhiều (hơn ngừoi thường) nên rồi một lúc nào đó chắc chắn sẽ nhận được thành quả."
54,挙げる,あげる," Giơ lên, Đưa ra, Ủng hộ, Mang cả .., Dốc.., Nâng lên, Cử hành, Bắt giữ, Dấy binh","・試験中、何かあれば手を挙げて知らせてください。
Trong giờ kiểm tra nếu có gì hãy giơ tay lên thông báo.
・もう少し具体例を挙げて説明した方がいいですよ。
Nên nếu ví dụ cụ thể một chút để giải thích sẽ tốt hơn đấy.
・私は、このプロジェクトのリーダーに最もふさわしい人にあなたの名前を挙げた。
Tôi đã tiến cử tên cậu cho người phù hợp nhất với vị trí đội trưởng cho dự án này."
55,捉える,とらえる," Nắm bắt, Chiếm lấy, Bắt được","・あなたの意見は、この問題の要点をよく捉えている。
Ý kiến của bạn đang nắm được ý chính của vấn đề.
・あの教授は話し始めて10分足らずで、学生の心を捉えた。
Giáo viên đó bắt đầu nói chuyện chưa tới 10 phút đã chiếm được trái tim của học sinh.
・防犯カメラは、事件解決の糸口となる証拠を捉えていた。
Camera chống trộm nắm được chứng cớ trở thành manh mối giải quyết vụ án."
56,耕す,たがやす, Cày bừa,"・この広大な土地を一人で耕すのは果てしない時間がかかる。
Một người cày bừa ở mảnh đất rộng lớn như thế này thì sẽ tốn vô số thời gian."
57,扇ぐ,あおぐ,Quạt,"・あまりにも暑いので、手で顔を扇いた。
Vì quá nóng nên tôi đã lấy tay quạt mặt."
58,築く,きずく,"Xây dựng, gây dựng","・昔の人々は、どうやって人力でこんなにも大きな城（しろ）を築いたのだろうか。
Không biết những người xưa đã làm như thế nào để xây thành to như thế này nhỉ.
・あそこまでの関係を築くには、相当な信頼が必要だ。
Để có thể xây dựng được mối quan hệ đến mức vậy thì hẳn là phải cần sự tin tưởng rất lớn."
59,生かす,いかす,"Phát huy , tận dụng","・釣った魚を水の中に入れて生かしておく。
 Thả cá câu được vào nước cho nó sống.
・あの悪人をもう生かしてはおけない。
Không thể để cho tên ác nhân đó sống được."
60,言いつける,いいつける, Ra lệnh/ Báo cáo/ Mách,"・いくら言いつけられようが、私は自分の意志を貫く（つらぬく）。
Dù bị nói như thế nào đi nữa thì tôi vẫn giữ vững mong muốn của bản thân mình.
・弟は私が悪事をしたら、すぐ母に言いつける。
Em trai tôi cứ lúc nào tôi làm điều gì xấu là đi mách mẹ luôn."